,Data,Dij,Origin,Destination,Pop,Oi,beta,PopParam,Ai,SIM_Estimates
0,6469,576,1,2,2071000,242873,-0.7365098,0.8818262,1.0818554605388458e-05,9476.392541585881
1,7629,946,1,3,3376000,242873,-0.7365098,0.8818262,1.0818554605388458e-05,9635.388791768606
2,20036,597,1,4,6978000,242873,-0.7365098,0.8818262,1.0818554605388458e-05,23858.440054031777
3,4690,373,1,5,1345000,242873,-0.7365098,0.8818262,1.0818554605388458e-05,9312.645547710961
4,6194,559,1,6,2064000,242873,-0.7365098,0.8818262,1.0818554605388458e-05,9662.19795789432
5,11688,707,1,7,2378000,242873,-0.7365098,0.8818262,1.0818554605388458e-05,9078.83917480871
6,2243,1208,1,8,1239000,242873,-0.7365098,0.8818262,1.0818554605388458e-05,3675.5000782460793
7,8857,602,1,9,4435000,242873,-0.7365098,0.8818262,1.0818554605388458e-05,16637.255909591844
8,7248,692,1,10,1999000,242873,-0.7365098,0.8818262,1.0818554605388458e-05,8052.685102035152
9,3559,681,1,11,1274000,242873,-0.7365098,0.8818262,1.0818554605388458e-05,5729.371261258117
10,9221,1934,1,12,7042000,242873,-0.7365098,0.8818262,1.0818554605388458e-05,10110.366682524906
11,10099,332,1,13,834000,242873,-0.7365098,0.8818262,1.0818554605388458e-05,6983.064042253649
12,22866,595,1,14,1268000,242873,-0.7365098,0.8818262,1.0818554605388458e-05,6305.009789441779
13,3388,906,1,15,1965000,242873,-0.7365098,0.8818262,1.0818554605388458e-05,6515.203610427712
14,9986,425,1,16,1046000,242873,-0.7365098,0.8818262,1.0818554605388458e-05,6949.595874504433
15,46618,755,1,17,12131000,242873,-0.7365098,0.8818262,1.0818554605388458e-05,30924.735536671902
16,11639,672,1,18,4824000,242873,-0.7365098,0.8818262,1.0818554605388458e-05,16384.904730003687
17,1380,1587,1,19,969000,242873,-0.7365098,0.8818262,1.0818554605388458e-05,2480.7022705561903
18,5261,526,1,20,2401000,242873,-0.7365098,0.8818262,1.0818554605388458e-05,11373.424818001447
19,5985,484,1,21,2410000,242873,-0.7365098,0.8818262,1.0818554605388458e-05,12127.726224418833
20,6731,2141,1,22,2847000,242873,-0.7365098,0.8818262,1.0818554605388458e-05,4621.080700304629
21,2704,2182,1,23,1425000,242873,-0.7365098,0.8818262,1.0818554605388458e-05,2652.653896944773
22,12250,410,1,24,1089000,242873,-0.7365098,0.8818262,1.0818554605388458e-05,7364.305980747005
23,16132,540,1,25,2909000,242873,-0.7365098,0.8818262,1.0818554605388458e-05,12961.509424267622
